title,author,isbn13,publication_date,publisher,authorID,publisherID
Pnin,David Lodge,9781400041985,2004-04-06 00:00:00.000,Everyman's Library,101811,1646
The Hunchback of Notre-Dame,Victor Hugo,9780451527882,2001-04-10 00:00:00.000,Signet Classics,108845,2798
The Hunchback of Notre-Dame,Walter J. Cobb,9780451527882,2001-04-10 00:00:00.000,Signet Classics,108939,2798
C.S. Lewis and the Catholic Church,Joseph Pearce,9780898709797,2004-03-17 00:00:00.000,Ignatius Press,104568,2004
The Collected Letters of C.S. Lewis  Volume 1: Family Letters  1905-1931,C.S. Lewis,9780060727635,2004-06-29 00:00:00.000,HarperOne,101018,1894
The Collected Letters of C.S. Lewis  Volume 1: Family Letters  1905-1931,Walter Hooper,9780060727635,2004-06-29 00:00:00.000,HarperOne,108937,1894
Cartas del diablo a su sobrino,C.S. Lewis,9780061140044,2006-03-14 00:00:00.000,HarperOne,101018,1894
Cartas del diablo a su sobrino,Miguel Marias,9780061140044,2006-03-14 00:00:00.000,HarperOne,106220,1894
The Four Loves,C.S. Lewis,9780006280897,2002-06-05 00:00:00.000,HarperCollins Publishers Ltd,101018,1887
What Christians Believe,C.S. Lewis,9780060761530,2005-02-22 00:00:00.000,HarperOne,101018,1894
C. S. Lewis: Life  Works  and Legacy,Bruce L. Edwards,9780275991166,2007-04-30 00:00:00.000,Praeger,100970,2576
C. S. Lewis: Life  Works  and Legacy,Diana Pavlac Glyer,9780275991166,2007-04-30 00:00:00.000,Praeger,101996,2576
Mere Christianity: Abolition of Man (Bonus Feature),C.S. Lewis,9780786174362,2006-05-01 00:00:00.000,Blackstone Audiobooks,101018,1269
Mere Christianity: Abolition of Man (Bonus Feature),Geoffrey Howard,9780786174362,2006-05-01 00:00:00.000,Blackstone Audiobooks,102887,1269
Mere Christianity: Abolition of Man (Bonus Feature),Robert Whitefield,9780786174362,2006-05-01 00:00:00.000,Blackstone Audiobooks,107577,1269
Mere Christianity: Abolition of Man (Bonus Feature),Robert Whitfield,9780786174362,2006-05-01 00:00:00.000,Blackstone Audiobooks,107578,1269
Beyond the Chains of Illusion: My Encounter with Marx and Freud,Erich Fromm,9780826418975,2006-12-17 00:00:00.000,Bloomsbury,102535,1278
Beyond the Chains of Illusion: My Encounter with Marx and Freud,Rainer Funk,9780826418975,2006-12-17 00:00:00.000,Bloomsbury,107092,1278
The Art of Loving by Erich Fromm: A True Story of a Japanese Woman,Lala Okamoto,9784990327507,2006-10-31 00:00:00.000,Intercultural Publishing,105021,2023
Marx's Concept of Man,Erich Fromm,9780826477910,2004-12-09 00:00:00.000,Bloomsbury Academic,102535,1280
Marx's Concept of Man,T.B. Bottomore,9780826477910,2004-12-09 00:00:00.000,Bloomsbury Academic,108445,1280
Gulliver's Travels,Jonathan Swift,9789810549411,2007-07-01 00:00:00.000,YoungJin Singapore Pte. Ltd.,104520,3221
Gulliver's Travels,YKids,9789810549411,2007-07-01 00:00:00.000,YoungJin Singapore Pte. Ltd.,109141,3221
Darkness at Noon,Arthur Koestler,9781416540267,2006-10-17 00:00:00.000,Scribner,100579,2760
Darkness at Noon,Daphne Hardy,9781416540267,2006-10-17 00:00:00.000,Scribner,101637,2760
The Invisible Writing,Arthur Koestler,9780099490685,2005-09-01 00:00:00.000,Vintage Classics,100579,3103
Up in the Air,Walter Kirn,9780385722377,2002-09-24 00:00:00.000,Anchor,108944,1087
Making a Change for Good: A Guide to Compassionate Self-Discipline,Cheri Huber,9781590302088,2007-03-13 00:00:00.000,Shambhala,101260,2782
The Total Library: Non-Fiction 1922-1986,Jorge Luis Borges,9780141183022,2001-01-18 00:00:00.000,Penguin Books Ltd,104534,2478
The Total Library: Non-Fiction 1922-1986,Suzanne Jill Levine,9780141183022,2001-01-18 00:00:00.000,Penguin Books Ltd,108412,2478
The Total Library: Non-Fiction 1922-1986,Esther Allen,9780141183022,2001-01-18 00:00:00.000,Penguin Books Ltd,102569,2478
The Complete Works,Michel de Montaigne,9781400040216,2003-04-29 00:00:00.000,Everyman's Library,106193,1646
The Complete Works,Donald M. Frame,9781400040216,2003-04-29 00:00:00.000,Everyman's Library,102087,1646
To America with Love: Letters from the Underground,Abbie Hoffman,9781888996289,2000-09-01 00:00:00.000,Red Hen Pr,100031,2669
To America with Love: Letters from the Underground,Anita Hoffman,9781888996289,2000-09-01 00:00:00.000,Red Hen Pr,100389,2669
Hellsing  Vol. 03 (Hellsing  #3),Kohta Hirano,9781593072025,2004-06-15 00:00:00.000,Dark Horse Manga,104974,1500
Hellsing  Vol. 04 (Hellsing  #4),Kohta Hirano,9781593072599,2004-09-21 00:00:00.000,Dark Horse Manga,104974,1500
Feeding the Future: From Fat to Famine  How to Solve the World's Food Crises,Andrew Heintzman,9780887847448,2006-09-20 00:00:00.000,House of Anansi Press,100339,1985
Feeding the Future: From Fat to Famine  How to Solve the World's Food Crises,Evan Solomon,9780887847448,2006-09-20 00:00:00.000,House of Anansi Press,102588,1985
Feeding the Future: From Fat to Famine  How to Solve the World's Food Crises,Eric Schlosser,9780887847448,2006-09-20 00:00:00.000,House of Anansi Press,102522,1985
Chew on This: Everything You Don't Want to Know About Fast Food,Eric Schlosser,9780618710317,2006-05-10 00:00:00.000,Houghton Mifflin,102522,1980
Chew on This: Everything You Don't Want to Know About Fast Food,Charles   Wilson,9780618710317,2006-05-10 00:00:00.000,Houghton Mifflin,101178,1980
Shaken (Left Behind: The Kids  #23-25),Jerry B. Jenkins,9781414302683,2005-02-01 00:00:00.000,Tyndale House Publishers,104034,3015
Shaken (Left Behind: The Kids  #23-25),Tim LaHaye,9781414302683,2005-02-01 00:00:00.000,Tyndale House Publishers,108636,3015
Shaken (Left Behind: The Kids  #23-25),Chris Fabry,9781414302683,2005-02-01 00:00:00.000,Tyndale House Publishers,101293,3015
The Rapture: In the Twinkling of an Eye   (Before They Were Left Behind  #3),Tim LaHaye,9781414305813,2007-02-01 00:00:00.000,Tyndale House Publishers,108636,3015
The Rapture: In the Twinkling of an Eye   (Before They Were Left Behind  #3),Jerry B. Jenkins,9781414305813,2007-02-01 00:00:00.000,Tyndale House Publishers,104034,3015
Kingdom Come: The Final Victory (Left Behind  #13),Tim LaHaye,9780842360616,2007-04-03 00:00:00.000,Tyndale House Publishers,108636,3015
Kingdom Come: The Final Victory (Left Behind  #13),Jerry B. Jenkins,9780842360616,2007-04-03 00:00:00.000,Tyndale House Publishers,104034,3015
John's Story: The Last Eyewitness (The Jesus Chronicles  #1),Tim LaHaye,9780399153891,2006-12-01 00:00:00.000,Putnam Adult,108636,2609
John's Story: The Last Eyewitness (The Jesus Chronicles  #1),Jerry B. Jenkins,9780399153891,2006-12-01 00:00:00.000,Putnam Adult,104034,2609
Silenced: The Wrath of God Descends (Underground Zealot  #2),Jerry B. Jenkins,9780842384117,2005-03-01 00:00:00.000,Tyndale House Publishers,104034,3015
A Woman in Berlin: Eight Weeks in the Conquered City: A Diary,Anonymous,9780312426118,2006-07-11 00:00:00.000,Picador,100477,2524
A Woman in Berlin: Eight Weeks in the Conquered City: A Diary,Philip Boehm,9780312426118,2006-07-11 00:00:00.000,Picador,106936,2524
A Woman in Berlin: Eight Weeks in the Conquered City: A Diary,Hans Magnus Enzensberger,9780312426118,2006-07-11 00:00:00.000,Picador,103180,2524
A Woman in Jerusalem,A.B. Yehoshua,9780151012268,2006-08-14 00:00:00.000,Houghton Mifflin Harcourt,100006,1983
A Woman in Jerusalem,Hillel Halkin,9780151012268,2006-08-14 00:00:00.000,Houghton Mifflin Harcourt,103341,1983
The Kept Woman,Susan Donovan,9780312939502,2006-06-27 00:00:00.000,St. Martin's Paperbacks,108366,2862
The Crazyladies of Pearl Street,Trevanian,9781400080373,2006-06-06 00:00:00.000,Broadway Books,108762,1324
The Summer of Katya,Trevanian,9781400098040,2005-06-28 00:00:00.000,Broadway Books,108762,1324
The Main,Trevanian,9781400098231,2005-07-26 00:00:00.000,Broadway Books,108762,1324
The Eiger Sanction (Jonathan Hemlock  #1),Trevanian,9781400098026,2005-05-10 00:00:00.000,Broadway Books,108762,1324
Scoop (Occupational Hazards  #1),Rene Gutteridge,9781400071579,2006-10-10 00:00:00.000,WaterBrook,107188,3151
Black Mischief,Evelyn Waugh,9780316917339,2002-08-30 00:00:00.000,Back Bay Books,102596,1178
The Complete Stories of Evelyn Waugh,Evelyn Waugh,9780316926607,2000-09-20 00:00:00.000,Back Bay Books,102596,1178
Helena,Evelyn Waugh,9780829421224,2005-03-01 00:00:00.000,Loyola Classics,102596,2174
Helena,George Weigel,9780829421224,2005-03-01 00:00:00.000,Loyola Classics,102959,2174
Helena,Amy Welborn,9780829421224,2005-03-01 00:00:00.000,Loyola Classics,100298,2174
Grand Theft Auto: San Andreas Official Strategy Guide,Rick Barba,9780744004298,2004-10-25 00:00:00.000,BradyGames,107363,1311
Voice of the Violin (Inspector Montalbano  #4),Andrea Camilleri,9780142004456,2004-06-29 00:00:00.000,Penguin,100315,2462
Voice of the Violin (Inspector Montalbano  #4),Stephen Sartarelli,9780142004456,2004-06-29 00:00:00.000,Penguin,108240,2462
Andreas Gursky,Andreas Gursky,9780870700163,2002-07-02 00:00:00.000,Museum of Modern Art,100321,2295
Andreas Gursky,Peter Galassi,9780870700163,2002-07-02 00:00:00.000,Museum of Modern Art,106839,2295
The Black Road (Diablo #2),Mel Odom,9780743426916,2002-04-02 00:00:00.000,Star Trek,105965,2870
Scales of the Serpent (Diablo: The Sin War  #2),Richard A. Knaak,9780743471237,2007-03-27 00:00:00.000,Pocket Star,107227,2557
El Escorpion: La Marca del Diablo: El Escorpion: The Mark of the Devil,Stephen Desberg,9781594970009,2004-10-01 00:00:00.000,Public Square Books,108184,2598
El Escorpion: La Marca del Diablo: El Escorpion: The Mark of the Devil,Enrico Marini,9781594970009,2004-10-01 00:00:00.000,Public Square Books,102480,2598
Diablo II Ultimate Strategy Guide,Bart G. Farkas,9780744001051,2001-10-31 00:00:00.000,Vivendi,100698,3115
El Diablo Cojuelo,Luis Vélez de Guevara,9788437604824,2007-01-11 00:00:00.000,Cátedra,105413,1474
El diablo de la botella,Robert Louis Stevenson,9789580408550,2018-07-15 00:00:00.000,Grupo Editorial Norma  S.A.,107512,1809
El diablo de la botella,Diana Castellanos,9789580408550,2018-07-15 00:00:00.000,Grupo Editorial Norma  S.A.,101988,1809
El diablo de la botella,Eleonora Garcia Larralde,9789580408550,2018-07-15 00:00:00.000,Grupo Editorial Norma  S.A.,102343,1809
Diabolo: Volume 1,Kei Kusunoki,9781595322326,2004-11-01 00:00:00.000,TokyoPop,104854,2976
Diabolo: Volume 1,Kaoru Ohashi,9781595322326,2004-11-01 00:00:00.000,TokyoPop,104725,2976
A Three Dog Life,Abigail Thomas,9780151012114,2006-09-05 00:00:00.000,Houghton Mifflin Harcourt,100035,1983
Malcolm X: A Graphic Biography,Andrew Helfer,9780809095049,2006-11-14 00:00:00.000,Hill and Wang,100340,1961
Malcolm X: A Graphic Biography,Randy DuBurke,9780809095049,2006-11-14 00:00:00.000,Hill and Wang,107123,1961
Bosnia: A Short History,Noel Malcolm,9780330412445,2002-08-01 00:00:00.000,Pan MacMillan,106503,2432
The Other Boleyn Girl,Philippa Gregory,9780743269834,2004-11-09 00:00:00.000,Atria Books,106973,1141
The Last Boleyn,Karen Harper,9780307237903,2006-02-28 00:00:00.000,Broadway Books,104740,1324
The Other Boleyn Girl,Philippa Gregory,9780739427118,2001-04-21 00:00:00.000,Scribner,106973,2760
Lila's Child: An Inquiry into Quality,Robert M. Pirsig,9781403356208,2003-01-14 00:00:00.000,1st Book Library,107517,1001
Lila's Child: An Inquiry into Quality,Dan Glover,9781403356208,2003-01-14 00:00:00.000,1st Book Library,101575,1001
Swapping Lives,Jane Green,9780670034802,2006-06-13 00:00:00.000,Viking Adult,103823,3087
Babyville,Jane Green,9780767912242,2004-03-23 00:00:00.000,Broadway Books,103823,1324
To Have and to Hold,Jane Green,9780767912273,2005-03-01 00:00:00.000,Broadway Books,103823,1324
Mr. Maybe,Jane Green,9780767905206,2002-06-11 00:00:00.000,Broadway Books,103823,1324
Straight Talking,Jane Green,9780141011516,2002-09-05 00:00:00.000,Penguin,103823,2462
Spellbound,Jane Green,9780140295948,2003-12-04 00:00:00.000,Penguin Books Ltd,103823,2478
Babyville,Jane Green,9780767912235,2003-05-27 00:00:00.000,Broadway Books,103823,1324
This Christmas,Jane Green,9780821778067,2009-10-01 00:00:00.000,Zebra,103823,3223
This Christmas,Jennifer Coburn,9780821778067,2009-10-01 00:00:00.000,Zebra,103988,3223
This Christmas,Liz Ireland,9780821778067,2009-10-01 00:00:00.000,Zebra,105310,3223
Bookends,Jane Green,9780767907804,2002-06-11 00:00:00.000,Broadway Books,103823,1324
